"5";"Exérèse du thymus vestigial, par thoracotomie"
"LHMA008";"Reconstruction de l'isthme interarticulaire d'une vertèbre, par abord postérieur"
"LHMA015";"Correction instrumentale d'une déformation souple de la colonne vertébrale, avec arthrodèse sur plus de 9 vertèbres, par abord postérieur"
"LHMH002";"Spondyloplastie unique, par voie transcutanée avec guidage radiologique"
"LHNH001";"Thermocoagulation de facettes articulaires du rachis, par voie transcutanée avec guidage radiologique"
"LHNH003";"Nucléolyse d'un disque intervertébral, par voie transcutanée avec guidage radiologique"
"LHPA003";"Laminotomie vertébrale sans exploration du contenu intradural, par abord postérieur ou postérolatéral"
"LHPA004";"Mise à plat d'une lésion vertébrale infectieuse ou ossifluente, par abord postérieur"
"LHPA010";"Laminotomie vertébrale avec exploration du contenu intradural sans plastie de la dure-mère, par abord postérieur ou postérolatéral"
"LHPH001";"Nucléotomie d'un disque intervertébral, par voie transcutanée avec guidage radiologique"
"LHQH004";"Discographie intervertébrale multiple, par voie transcutanée"
"LHQH006";"Scanographie d'un segment du rachis, avec injection intraveineuse de produit de contraste"
"LHQJ001";"Remnographie [IRM] d'un ou de deux segments du rachis et de son contenu, avec injection intraveineuse de produit de contraste"
"LHQJ002";"Remnographie [IRM] de plus de deux segments du rachis et de son contenu, avec injection intraveineuse de produit de contraste"
"LHQK001";"Scanographie d'un segment du rachis, sans injection intraveineuse de produit de contraste"
"LHQK002";"Téléradiographie du rachis en totalité selon 2 incidences"
"LHQK003";"Téléradiographie du rachis en totalité selon 2 incidences avec incidence segmentaire supplémentaire"
"LHQK004";"Téléradiographie du rachis en totalité selon 1 incidence"
"LHQN001";"Remnographie [IRM] d'un ou de deux segments du rachis et de son contenu, sans injection intraveineuse de produit de contraste"
"LHQN002";"Remnographie [IRM] de plus de deux segments du rachis et de son contenu, sans injection intraveineuse de produit de contraste"
"LJCA002";"Ostéosynthèse d'un volet thoracique"
"LJFA002";"Résection de la première côte, par abord supraclaviculaire ou axillaire"
"LJFA004";"Résection de plusieurs côtes et des espaces intercostaux correspondants, sans prothèse"
"LJFA006";"Résection d'une côte"
"LJFA008";"Résection de plusieurs côtes et des espaces intercostaux correspondants, avec prothèse"
"LJGA001";"Ablation de fils d'ostéosynthèse du sternum"
"LJGA002";"Ablation de matériel d'ostéosynthèse du sternum ou des côtes"
"LJJA001";"Évacuation de collection suppurée de la paroi thoracique, par abord direct"
"LJMA001";"Thoracoplastie de plus de 5 côtes"
"LJMA002";"Plastie de malformation du thorax sans malformation du sternum, sans ostéosynthèse"
"LJMA004";"Plastie de malformation du thorax sans malformation du sternum, avec ostéosynthèse"
"LJQK002";"Radiographie du thorax avec radiographie du squelette du thorax"
"LLBA002";"Interposition ou apposition de lambeau diaphragmatique ou intercostal, au cours d'une intervention intrathoracique"
"LLCA001";"Suture d'une coupole du diaphragme pour hernie congénitale, par laparotomie"
"LLCA004";"Suture de rupture récente de la coupole gauche du diaphragme, par laparotomie"
"LLFA013";"Exérèse partielle du diaphragme avec prothèse, par thoracotomie"
"LLJA002";"Évacuation de collection périmandibulaire ou périmaxillaire, par abord intrabuccal"
"LLJA003";"Évacuation de collection de la région des muscles masticateurs, par abord intrabuccal"
"LLMA001";"Cure d'une hernie acquise de la coupole gauche du diaphragme, par thoracotomie"
"LLMA008";"Plastie d'une coupole du diaphragme pour éventration, par laparotomie"
"LLMA009";"Plastie musculaire ou prothétique d'une coupole du diaphragme pour hernie congénitale, par thoracotomie"
"LLMA010";"Cure d'une hernie hiatale avec pose de prothèse, par laparotomie"
"LLMC002";"Cure d'une hernie hiatale avec pose de prothèse, par coelioscopie"
"LLMC004";"Cure d'une hernie hiatale sans pose de prothèse, par coelioscopie"
"LLMC005";"Cure d'une hernie acquise de la coupole du diaphragme, par thoracoscopie"
"LMFA001";"Exérèse de tumeur de la paroi abdominale antérieure avec fermeture par suture, par abord direct"
"LMGA001";"Ablation d'une prothèse de la paroi abdominale, par abord direct"
"LMMA001";"Cure bilatérale d'une hernie de l'aine avec pose de prothèse, par abord inguinal"
"LMMA004";"Cure d'éventration postopératoire de la paroi abdominale antérieure avec pose de prothèse, par abord direct"
"LMMA006";"Cure d'une hernie de la paroi abdominale antérieure après l'âge de 16 ans avec pose de prothèse, par abord direct"
"LMMA007";"Réfection de la paroi lombaire avec prothèse"
"LMMA008";"Cure unilatérale d'une hernie de l'aine avec pose de prothèse, par abord prépéritonéal"
"LMMA009";"Cure d'une hernie de la paroi abdominale antérieure après l'âge de 16 ans sans pose de prothèse, par abord direct"
"LMMA010";"Cure d'éventration postopératoire de la paroi abdominale antérieure sans pose de prothèse, par abord direct"
"LMMA011";"Cure d'une hernie crurale, par abord inguinocrural"
"LMMA012";"Cure unilatérale d'une hernie de l'aine avec pose de prothèse, par abord inguinal"
"LMMA013";"Cure bilatérale d'une hernie de l'aine sans pose de prothèse, par abord inguinal"
"LMMA014";"Cure d'une hernie de la paroi abdominale antérieure avant l'âge de 16 ans, par abord direct"
"LMMA015";"Cure unilatérale d'une hernie de l'aine sans pose de prothèse, par abord inguinal"
"LMMC001";"Cure bilatérale d'une hernie de l'aine avec pose de prothèse, par vidéochirurgie"
"LMMC002";"Cure unilatérale d'une hernie de l'aine avec pose de prothèse, par vidéochirurgie"
"LMSA002";"Fermeture d'une éviscération abdominale, par abord direct"
"MACA001";"Ostéosynthèse de fracture de la clavicule à foyer ouvert"
"MAFA005";"Résection segmentaire de la clavicule avec ostéosynthèse et autogreffe, pour pseudarthrose congénitale"
"MAGA001";"Ablation de matériel d'ostéosynthèse de la scapula, par abord direct"
"MAPA003";"Ostéotomie de l'acromion et/ou de l'épine de la scapula, par abord direct"
"MAQK001";"Radiographie de la ceinture scapulaire et/ou de l'épaule selon 3 ou 4 incidences"
"MAQK003";"Radiographie de la ceinture scapulaire et/ou de l'épaule selon 1 ou 2 incidences"
"MBAA002";"Allongement osseux progressif du bras ou de l'avant-bras par système externe"
"MBCA001";"Ostéosynthèse de fracture extraarticulaire infratubérositaire de l'humérus"
"MBCA002";"Ostéosynthèse préventive de l'humérus pour lésion ostéolytique, à foyer ouvert"
"MBCA003";"Ostéosynthèse d'une fracture supracondylaire de l'humérus, à foyer ouvert"
"MBCA004";"Ostéosynthèse de fracture du tubercule majeur [trochiter] et/ou du tubercule mineur [trochin], à foyer ouvert"
"MBCA005";"Ostéosynthèse de fracture céphalotubérositaire de l'humérus"
"MBCA006";"Ostéosynthèse d'une fracture supracondylaire et intercondylaire complexe de l'humérus, à foyer ouvert"
"MBCA007";"Ostéosynthèse de fracture de la diaphyse de l'humérus par fixateur externe"
"MBCA009";"Ostéosynthèse d'une fracture-luxation de l'extrémité proximale de l'humérus, à foyer ouvert"
"MBCA010";"Ostéosynthèse d'une fracture de l'épicondyle médial ou latéral de l'humérus, à foyer ouvert"
"MBCA012";"Ostéosynthèse de fracture intracapsulaire de l'extrémité distale de l'humérus, à foyer ouvert"
"MBCB001";"Ostéosynthèse d'une fracture supracondylaire de l'humérus, à foyer fermé"
"MBCB002";"Ostéosynthèse de fracture de la diaphyse de l'humérus par matériel centromédullaire, à foyer fermé"
"MBCB004";"Ostéosynthèse d'une fracture du condyle médial ou latéral de l'humérus, à foyer fermé"
"MBEP001";"Réduction orthopédique extemporanée de fracture ou de décollement épiphysaire de l'extrémité proximale de l'humérus ou de fracture de la diaphyse de l'humérus"
"MBEP002";"Réduction orthopédique extemporanée de fracture de l'extrémité distale de l'humérus"
"MBGA002";"Évidement de l'épiphyse proximale de l'humérus en présence d'un cartilage épiphysaire actif, sans comblement, par abord direct"
"MBPA001";"Décortication de l'humérus avec ostéosynthèse pour pseudarthrose"
"MBQK001";"Radiographie du bras"
"MCCA001";"Ostéosynthèse d'une fracture simple ou de décollement épiphysaire de l'extrémité proximale d'un os de l'avant-bras, à foyer ouvert"
"MCCA004";"Ostéosynthèse de fracture de la diaphyse d'un os de l'avant-bras, à foyer ouvert"
"MCCA005";"Ostéosynthèse de fracture de l'extrémité distale d'un os de l'avant-bras, à foyer ouvert"
"MCCA008";"Ostéosynthèse de fracture de la diaphyse des deux os de l'avant-bras, à foyer ouvert"
"MCCA010";"Ostéosynthèse de fracture de l'extrémité distale des deux os de l'avant-bras, à foyer ouvert"
"MCCA011";"Ostéosynthèse d'une fracture complexe de l'extrémité proximale d'un os de l'avant-bras, à foyer ouvert"
"MCCB001";"Ostéosynthèse de fracture de l'extrémité proximale d'un os de l'avant-bras, à foyer fermé"
"MCCB002";"Ostéosynthèse de fracture de l'extrémité distale d'un os ou des deux os de l'avant-bras par fixateur externe, à foyer fermé"
"MCCB003";"Ostéosynthèse de fracture de la diaphyse d'un os de l'avant-bras, à foyer fermé"
"MCCB004";"Ostéosynthèse de fracture ou de décollement épiphysaire de l'extrémité distale d'un os de l'avant-bras par broche, à foyer fermé"
"MCCB007";"Ostéosynthèse de fracture de la diaphyse des deux os de l'avant-bras, à foyer fermé"
"MCCB008";"Ostéosynthèse de fracture de la diaphyse d'un os de l'avant-bras avec réduction d'une luxation de l'autre os au coude ou au poignet, à foyer fermé"
"MCEP001";"Réduction orthopédique de fracture ou de décollement épiphysaire de l'extrémité distale d'un os ou des deux os de l'avant-bras"
"MCEP002";"Réduction orthopédique de fracture ou de décollement épiphysaire de l'extrémité proximale et/ou de fracture de la diaphyse d'un os ou des deux os de l'avant-bras"
"MCFA004";"Résection de la tête du radius, par arthrotomie"
"MCFA005";"Résection d'une extrémité et/ou de la diaphyse d'un os de l'avant-bras, sans interruption de la continuité"
"MCFA006";"Résection ""en bloc"" d'une extrémité et/ou de la diaphyse d'un os de l'avant-bras"
"MCMA002";"Reconstruction d'une extrémité et/ou de la diaphyse d'un os de l'avant-bras après résection partielle, par greffe ou matériau inerte non prothétique"
"MCPA005";"Ostéotomie de l'ulna avec arthrodèse de l'articulation radio-ulnaire distale"
"MCPA006";"Ostéotomie complexe de la diaphyse d'un os de l'avant-bras"
"MCPA010";"Ostéotomie simple de la diaphyse d'un os de l'avant-bras"
"MCPA014";"Décortication d'un os de l'avant-bras pour pseudarthrose"
"MCQK001";"Radiographie de l'avant-bras"
"MDCA001";"Ostéosynthèse de fracture de l'os scaphoïde, à foyer ouvert"
"MDCA003";"Ostéosynthèse de fracture articulaire d'un os de la main par fixateur externe"
"MDCA004";"Ostéosynthèse de fractures articulaires de plusieurs os de la main, à foyer ouvert"
"MDCA006";"Ostéosynthèse de fractures de plusieurs os du carpe, à foyer ouvert"
"MDCA007";"Ostéosynthèse de fractures extraarticulaires de plusieurs os de la main, à foyer ouvert"
"MDCA010";"Ostéosynthèse de fracture extraarticulaire d'un os de la main par fixateur externe"
"MDCA011";"Ostéosynthèse de fracture extraarticulaire d'un os de la main, à foyer ouvert"
"MDCA012";"Ostéosynthèse de fracture de la base du premier métacarpien, à foyer ouvert"
"MDCA013";"Ostéosynthèse de fracture d'un os du carpe, à foyer ouvert"
"MDCA014";"Ostéosynthèse de fracture articulaire d'un os de la main, à foyer ouvert"
"MDCB002";"Ostéosynthèse de fractures articulaires de plusieurs os de la main par broche, à foyer fermé"
"MDCB003";"Ostéosynthèse de fracture extraarticulaire d'un os de la main par broche, à foyer fermé"
"MDCB004";"Ostéosynthèse de fractures extraarticulaires de plusieurs os de la main par broche, à foyer fermé"
"MDCB005";"Ostéosynthèse de fracture articulaire d'un os de la main par broche, à foyer fermé"
"MDEA001";"Autogreffe corticospongieuse encastrée de l'os scaphoïde"
"MDEA003";"Autogreffe corticospongieuse pédiculée de l'os scaphoïde"
"MDEP001";"Réduction orthopédique de fractures de plusieurs os de la main"
"MDEP002";"Réduction orthopédique d'une fracture d'un os de la main"
"MDEP003";"Réduction orthopédique de fracture et/ou d'une luxation du poignet"
"MDFA002";"Exérèse partielle d'un os de la main, sans interruption de la continuité"
"MDFA005";"Résection ""en bloc"" d'os du carpe et/ou du métacarpe"
"MDGA002";"Ablation de matériel d'ostéosynthèse sur un rayon de la main, par abord direct"
"MDGB001";"Ablation de matériel d'ostéosynthèse enfoui de la main, par voie transcutanée sans guidage"
"MDHA001";"Biopsie d'un os et/ou d'une articulation de la main, par abord direct"
"MDMA001";"Reconstruction d'un os de la main par greffe ou matériau inerte non prothétique"
"MDPA002";"Ostéotomie d'un os de la main"
"MDPA004";"Ostéotomie d'un os de la main, avec libération de tendon et/ou libération mobilisatrice articulaire"
"MDQK001";"Radiographie de la main ou de doigt"
"MDQK002";"Radiographie bilatérale de la main et/ou du poignet, selon 1 incidence sur un seul cliché de face"
"MEEA002";"Réduction d'une luxation scapulohumérale par arthrotomie, avec ostéosynthèse de fracture de la glène, du col de la scapula et/ou de tubercule huméral"
"MEEA004";"Réduction d'une luxation acromioclaviculaire ou sternoclaviculaire, par abord direct"
"MEEP002";"Réduction orthopédique d'une luxation scapulohumérale"
"MEEP003";"Réduction orthopédique d'une luxation scapulohumérale avec fracture de l'extrémité proximale de l'humérus"
"MEFC002";"Synovectomie totale de l'articulation scapulohumérale, par arthroscopie"
"MEJC001";"Nettoyage de l'articulation scapulohumérale, par arthroscopie"
"MEKA002";"Changement d'une prothèse humérale et/ou de la pièce glénoïdale d'une prothèse totale scapulohumérale avec reconstruction osseuse"
"MEKA005";"Remplacement de l'articulation scapulohumérale par prothèse humérale unipolaire ou à cupule mobile avec réinsertion suture et/ou autoplastie de la coiffe des rotateurs"
